name,platform,publisher,developer,Total_Shipped,year
Battle Garegga Rev.2016,PS4,M2,Arc System Works,0.01,2016
Ketsui Deathtiny: Kizuna Jigoku Tachi,PS4,M2,M2,0.01,2018
TOCA Championship Racing,PS,3DO,Codemasters,0.6,1998
BattleTanx,N64,3DO,3DO,0.33,1998
Uprising X,PS,3DO,Cyclone Studios,0.07,1998
Army Men 3D,PS,3DO,3DO,1.28,1999
Army Men: Air Attack,PS,3DO,3DO,0.85,1999
Army Men: Sarge's Heroes,N64,3DO,3DO,0.81,1999
BattleTanx: Global Assault,N64,3DO,3DO,0.39,1999
Sammy Sosa High Heat Baseball 2001,PS,3DO,Team .366,0.58,2000
Army Men: Sarge's Heroes,PS,3DO,3DO,0.56,2000
Army Men: Sarge's Heroes 2,N64,3DO,3DO,0.42,2000
"Army Men World War: Land, Sea, Air",PS,3DO,3DO,0.3,2000
Army Men: Air Attack 2,PS,3DO,3DO,0.3,2000
Crusaders of Might and Magic,PS,3DO,3DO,0.25,2000
Army Men: Sarge's Heroes 2,PS,3DO,3DO,0.24,2000
Army Men: Air Combat,N64,3DO,3DO,0.24,2000
World Destruction League: Thunder Tanks,PS2,3DO,3DO,0.17,2000
World Destruction League: Thunder Tanks,PS,3DO,3DO,0.17,2000
Army Men World War: Final Front,PS,3DO,3DO,0.44,2001
Army Men: Sarge's Heroes 2,PS2,3DO,3DO,0.17,2001
Warriors of Might and Magic,PS2,3DO,3DO,0.17,2001
Jonny Moseley Mad Trix,PS2,3DO,3DO,0.14,2001
Army Men: Green Rogue,PS2,3DO,3DO,0.13,2001
Portal Runner,PS2,3DO,3DO,0.13,2001
Warriors of Might and Magic,PS,3DO,3DO,0.13,2001
Aqua Aqua,PS2,3DO,Zed Two Limited,0.11,2001
Army Men World War: Team Assault,PS,3DO,3DO,0.1,2001
Army Men: Green Rogue,PS,3DO,3DO,0.07,2001
Dragon Rage,PS2,3DO,3DO,0.06,2001
High Heat Baseball 2002,PS,3DO,3DO,0.04,2001
WarJetz,PS2,3DO,3DO,0.04,2001
High Heat Major League Baseball 2003,PS2,3DO,3DO,0.37,2002
Army Men: RTS,PS2,3DO,Pandemic Studios,0.11,2002
Godai: Elemental Force,PS2,3DO,3DO,0.07,2002
Shifters,PS2,3DO,3DO,0.05,2002
High Heat Major League Baseball 2004,PS2,3DO,3DO,0.36,2003
High Heat Major League Baseball 2004,XB,3DO,3DO,0.08,2003
Army Men: Air Combat - The Elite Missions,GC,3DO,3DO,0.01,2003
Memories Off 6: T-Wave,PS2,5pb,5pb. Games,0.04,2008
Prism Ark: Awake,PS2,5pb,PENCIL,0.02,2008
Night Wizard the Video Game: Denial of the World,PS2,5pb,5pb. Games,0.02,2008
Memories Off,PSP,5pb,5pb. Games,0.01,2008
Kanokon: Esuii,PS2,5pb,Genterprise,0.01,2008
Memories Off 2nd,PSP,5pb,5pb. Games,0.01,2008
Memories Off: Sorekara,PSP,5pb,5pb. Games,0.01,2008
Memories Off: Omoide ni Kawaru-Kun,PSP,5pb,5pb. Games,0.01,2008
Monochrome Fighter: Cross Road,PS2,5pb,Genterprise,0.01,2008
Steins;Gate,X360,5pb,Nitro+,0.06,2009
Chaos;Head Noah,X360,5pb,Genterprise,0.04,2009
DoDonPachi Dai-Oujou: Black Label Extra,X360,5pb,Cave,0.02,2009
11eyes: CrossOver,X360,5pb,Genterprise,0.02,2009
Memories Off 6: Next Relation,PS2,5pb,5pb. Games,0.02,2009
Memories Off #5: Togireta Film,PSP,5pb,5pb. Games,0.01,2009
Lucian Bee's: Resurrection Supernova,PS2,5pb,HuneX,0.01,2009
Memories Off 6: T-Wave,PSP,5pb,5pb. Games,0.01,2009
Tayutama: Kiss on my Deity,X360,5pb,Lump of Sugar,0.01,2009
Memories Off: AfterRain,PSP,5pb,5pb. Games,0.01,2009
Taishou Yakyuujou: Otome Tatsuno Seishun Nikki,PSP,5pb,5pb. Games,0.01,2009
Memories Off 6: Next Relation,X360,5pb,5pb. Games,0.01,2009
Skip Beat!,PS2,5pb,5pb. Inc.,0.01,2009
Lucian Bee's: Justice Yellow / Evil Violet,PS2,5pb,HuneX,0.07,2010
Chaos;Head - Love Chu*Chu!,X360,5pb,Nitroplus,0.03,2010
Chaos;Head Noah,PSP,5pb,Genterprise,0.02,2010
Pastel Chime Continue,PSP,5pb,Alice Soft,0.02,2010
11eyes: CrossOver,PSP,5pb,Genterprise,0.02,2010
Ketsui: Kizuna Jigoku Tachi Extra,X360,5pb,Cave,0.02,2010
Memories Off: Yubikiri no Kioku,X360,5pb,5pb. Games,0.02,2010
W.L.O. Sekai Renai Kikousen,X360,5pb,AKABEi SOFT2,0.02,2010
"Sharin no Kuni, Himawari no Shoujo",X360,5pb,5pb. Games,0.02,2010
Memories Off 6: Next Relation,PSP,5pb,5pb. Games,0.01,2010
Steins;Gate: Darling of Loving Vows,X360,5pb,Nitro+,0.08,2011
Corpse Party: Book of Shadows,PSP,5pb,Team GrisGris,0.04,2011
Chaos;Head - Love Chu*Chu!,PSP,5pb,Nitroplus,0.04,2011
Dunamis 15,PS3,5pb,5pb. Games,0.02,2011
Memories Off: Yubikiri no Kikou,PSP,5pb,5pb. Games,0.02,2011
Dunamis 15,X360,5pb,5pb. Games,0.02,2011
Robotics;Notes,PS3,5pb,5pb. Games,0.11,2012
Steins;Gate: Darling of Loving Vows,PSP,5pb,5pb. Inc.,0.06,2012
Anohana: The Flower We Saw That Day,PSP,5pb,Guyzware,0.02,2012
Robotics;Notes,X360,5pb,5pb. Games,0.02,2012
Steins;Gate: Darling of Loving Vows,PS3,5pb,5pb. Inc.,0.02,2012
Akatsuki no Goei Trinity,PSP,5pb,Unknown,0.01,2012
Muv-Luv Alternative,PS3,5pb,Unknown,0.01,2012
Akatsuki no Goei Trinity,PS3,5pb,Syangrila,0.01,2012
Muv-Luv,PS3,5pb,Unknown,0.01,2012
Steins;Gate: Senkei Kousoku no Phonogram,PS3,5pb,5pb. Games,0.06,2013
Muv-Luv Alternative: Total Eclipse,PS3,5pb,MAGES. Inc.,0.03,2013
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,5pb,MAGES. Inc.,0.02,2013
Steins;Gate: Senkei Kousoku no Phonogram,X360,5pb,5pb. Games,0.02,2013
Nyaruko-San: Nafushigatai Game no You na Mono,PSV,5pb,Unknown,0.01,2013
Disorder 6,PS3,5pb,MAGES. Inc.,0.01,2013
Eiyuu * Senki,PS3,5pb,Unknown,0.01,2013
Phantom Breaker,PS3,5pb,Unknown,0.01,2013
Hanasaku Manimani,PSP,5pb,Unknown,0.01,2013
Muv-Luv Alternative: Total Eclipse,X360,5pb,Unknown,0.01,2013
Infinite Stratos 2: Ignition Hearts,PSV,5pb,5pb. Games,0.03,2014
Infinite Stratos 2: Ignition Hearts,PS3,5pb,5pb. Inc.,0.03,2014
Robotics;Notes,PSV,5pb,5pb. Games,0.02,2014
Chaos;Head Dual,PSV,5pb,Genterprise,0.01,2014
Hanasaku Manimani,PSV,5pb,5pb. Inc.,0.01,2014
Muv-luv Photonmelodies,PS3,5pb,5pb. Inc.,0.01,2014
Muv-luv Photonflowers,PS3,5pb,Unknown,0.01,2014
Eiyuu * Senki,PSV,5pb,Tenco,0.01,2014
Oretachi ni Tsubasa wa Nai,PSV,5pb,Unknown,0.01,2014
Bullet Soul Infinite Burst,X360,5pb,Unknown,0.01,2014
Steins;Gate,PSV,5pb,5pb. Inc.,0.1,2015
Steins;Gate,PS3,5pb,5pb. Inc.,0.06,2015
Corpse Party: Blood Covered - Repeated Fear,3DS,5pb,Team GrisGris,0.05,2015
Steins;Gate 0,PS3,5pb,5pb. Inc.,0.03,2015
Lovely x Cation 1 & 2,PSV,5pb,Unknown,0.02,2015
Psycho-Pass: Mandatory Happiness,XOne,5pb,5pb. Inc.,0.02,2015
Kadenz fermata//Akkord:fortissimo,PSV,5pb,La'cryma,0.02,2015
Chaos;Child,PS3,5pb,5pb. Inc.,0.02,2015
Saenai Kanojo no Sodatekata: Blessing Flowers,PSV,5pb,Unknown,0.02,2015
Infinite Stratos 2: Love and Purge,PSV,5pb,Unknown,0.01,2015
Infinite Stratos 2: Love and Purge,PS3,5pb,Unknown,0.01,2015
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,5pb,5pb. Inc.,0.04,2016
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,5pb,Unknown,0.03,2016
MuvLuv Double Pack,PSV,5pb,Unknown,0.03,2016
Plastic Memories,PSV,5pb,Unknown,0.02,2016
Meiji Toukyou Renka: Full Moon,PSV,5pb,Unknown,0.02,2016
"Kono Oozora ni, Tsubasa o Hirogete: Cruise Sign",PSV,5pb,Unknown,0.01,2016
Bullet Soul,X360,5pb,Tachyon Inc.,0.01,2016
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PSV,5pb,MAGES,0.02,2017
New Game! The Challenge Stage!,PSV,5pb,5pb. Inc.,0.02,2017
Konoyo no Hate de Koi o Utau Shoujo: Yu-No,PS4,5pb,MAGES,0.02,2017
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PSV,5pb,MAGES,0.02,2017
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PSV,5pb,5pb. Inc.,0.02,2017
Kamaitachi no Yoru: Rinne Saisei,PSV,5pb,Unknown,0.02,2017
New Game! The Challenge Stage!,PS4,5pb,5pb. Inc.,0.01,2017
Occultic;Nine,PSV,5pb,5pb. Inc.,0.01,2017
Chaos;Child: Love Chu Chu!!,PSV,5pb,5pb. Inc.,0.01,2017
Occultic;Nine,PS4,5pb,5pb. Inc.,0.01,2017
Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,PS4,5pb,5pb. Inc.,0.01,2017
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,PS4,5pb,5pb. Inc.,0.01,2017
Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,PS4,5pb,MAGES,0.01,2017
Chaos;Child: Love Chu Chu!!,PS4,5pb,5pb. Inc.,0.01,2017
Steins;Gate Elite,PSV,5pb,5pb. Inc.,0.01,2018
Pinball Tycoon,GBA,AIA,Ignition Entertainment,0.05,2003
Monster! Bass Fishing,GBA,AIA,Awesome Developments,0.05,2004
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,SAT,ASK,ASK,0.03,1996
Tetris 2 + Bombliss,NES,BPS,ChunSoft,0.32,1991
Drift King Shutokou Battle '94,SNES,BPS,Genki,0.2,1994
Grandia,SAT,ESP,Game Arts,0.42,1997
GunGriffon II,SAT,ESP,Game Arts,0.06,1998
Radiant Silvergun,SAT,ESP,"Treasure Co., Ltd.",0.03,1998
Hajime no Ippo: The Fighting,GBA,ESP,"Treasure Co., Ltd.",0.03,2002
Nonomura Byoin no Hitobito,SAT,Elf,Elf,0.36,1996
Kakyuusei,SAT,Elf,Elf,0.28,1997
SimEarth: The Living Planet,SNES,FCI,Tomcat System,0.16,1993
Postman Pat: Special Delivery Service,DS,GSP,Uacari,0.01,2009
Princess Isabella: A Witch's Curse,DS,GSP,Gogii Games,0.08,2010
Junior Brain Trainer 2,DS,GSP,Sanuk Games,0.28,2011
Jewel Quest Solitaire,DS,GSP,Avanquest Software,0.15,2011
Jewel Link Chronicles: Legend of Athena,DS,GSP,Avanquest Software,0.07,2011
Noddy in Toyland,DS,GSP,Avanquest Software,0.05,2011
Small Town Terrors - Galdor's Bluff,PC,GSP,GSP,0.01,2016
Beyond the Legend - Mysteries of Olympus,PC,GSP,Big Fish Games,0.01,2016
Enigmatis 3: The Shadow Of Karkhala,PC,GSP,Artifex Mundi sp. z o.o.,0.01,2017
APB Reloaded,PC,IGS,Reloaded Productions,0.04,2011
Center Ring Boxing,SAT,JVC,Victor Interactive Software,0.12,1995
Highschool Terra Story,SAT,KID,KID,0.03,1998
Memories Off: Sorekara Again,PS2,KID,KID Corporation,0.02,2006
Ryu-Koku,PS2,KID,KID Corporation,0.02,2006
Festa!! Hyper Girls Party,PS2,KID,KID Corporation,0.01,2006
Nishijin Pachinko Monogatari 2,SNES,KSS,KSS,0.03,1996
Option Tuning Car Battle,PS,MTO,Unknown,0.1,1998
Ochaken no Heya DS,DS,MTO,MTO,0.12,2006
San-X Land: Theme Park de Asobou!,DS,MTO,MTO,0.04,2006
Ochaken no Heya DS 2,DS,MTO,MTO,0.09,2007
Fashionable Puppy: Oshare na Koinu DS,DS,MTO,MTO,0.01,2007
San-X: Chara Sagashi Land,DS,MTO,MTO,0.01,2007
San-X Character Channel: All-Star Daishuugou!,DS,MTO,MTO,0.01,2008
Kawaii Koinu DS 2,DS,MTO,MTO,0.01,2008
Kawaii Koneko DS,DS,MTO,MTO,0.01,2008
Ochaken no Daibouken 2: Yume Ippai no Omocha Hako,DS,MTO,MTO,0.01,2008
Jewel Pet: Kawaii Mahou no Fantasy,DS,MTO,MTO,0.01,2009
Kawaii Koinu DS 3,DS,MTO,MTO,0.02,2010
Langrisser III,SAT,NCS,NCS,0.2,1996
Langrisser IV,SAT,NCS,Career Soft,0.11,1997
Langrisser V: The End of Legend,SAT,NCS,Career Soft,0.09,1998
Doukyuusei,PCE,NEC,Flight Plan,0.14,1995
Doukyuusei if,SAT,NEC,Elf,0.26,1996
Blue Breaker: Ken Yorimo Hohoemi o,PCFX,NEC,HuneX,0.03,1996
Boxer's Road,PS,New,New Corporation,0.36,1995
Block Kuzushi,SNES,Pow,Planning Office Wada,0.05,1995
Apassionata: Die Galanacht der Pferde,DS,RTL,B-Alive,0.05,2009
Richard Burns Rally,PC,SCi,Warthog,0.04,2004
Samurai Shodown,NG,SNK,SNK Corporation,0.07,1993
Samurai Shodown II,NG,SNK,SNK Corporation,0.25,1994
Samurai Spirits (CD),NG,SNK,SNK Corporation,0.2,1994
The King of Fighters '94 (CD),NG,SNK,SNK Corporation,0.14,1994
The King of Fighters '94,NG,SNK,SNK Corporation,0.12,1994
The King of Fighters '95 (CD),NG,SNK,SNK Corporation,0.23,1995
The King of Fighters '95,NG,SNK,SNK Corporation,0.2,1995
Samurai Shodown III,NG,SNK,SNK Corporation,0.08,1995
The King of Fighters '95,SAT,SNK,SNK Corporation,0.28,1996
The King of Fighters '96,SAT,SNK,SNK Corporation,0.21,1996
Real Bout Garou Densetsu,SAT,SNK,SNK Corporation,0.1,1996
The King of Fighters '96,NG,SNK,SNK Corporation,0.06,1996
Garou Densetsu 3: Road to the Final Victory,SAT,SNK,SNK Corporation,0.05,1996
Art of Fighting 3: The Path of the Warrior,NG,SNK,SNK Corporation,0.04,1996
The King of Fighters '96,PS,SNK,SNK Corporation,0.08,1997
The King of Fighters '97,SAT,SNK,SNK Corporation,0.17,1998
Real Bout Garou Densetsu Special: Dominated Mind,PS,SNK,SNK Corporation,0.06,1998
The King of Fighters Kyo,PS,SNK,SNK Corporation,0.04,1998
The King of Fighters: Dream Match 1999,DC,SNK,SNK Corporation,0.1,1999
Koudelka,PS,SNK,Sacnoth,0.08,1999
The King of Fighters '98: Dream Match Never Ends,PS,SNK,SNK Corporation,0.08,1999
Fatal Fury: Wild Ambition,PS,SNK,SNK Corporation,0.05,1999
Samurai Shodown: Warrios Rage,PS,SNK,SNK Corporation,0.01,2000
The King of Fighters 2000/2001,PS2,SNK,SNK Playmore Corporation,0.11,2003
King of Fighters: Maximum Impact,PS2,SNK,SNK Playmore Corporation,0.26,2004
Metal Slug 3,XB,SNK,SNK Corporation,0.1,2004
SVC Chaos: SNK vs. Capcom,XB,SNK,SNK Corporation,0.1,2004
Metal Slug Advance,GBA,SNK,Noise Factory,0.08,2004
The King of Fighters 02/03,PS2,SNK,SNK Corporation,0.07,2005
The King of Fighters 2002: Unlimited Match,PC,SNK,SNK Corporation,0.11,2015
Panzer General,PS,SSI,"Strategic Simulations, Inc.",0.24,1996
Allied General,PS,SSI,SSI,0.19,1996
Warhammer: Shadow of the Horned Rat,PS,SSI,Games Workshop,0.19,1996
Kono Aozora ni Yakusoku o: Tenohira no Rakuen,PSP,TGL,TGL,0.01,2009
Renai Revenge,PSV,TGL,TGL,0.04,2015
Kisuato,PSV,TGL,TGL,0.04,2015
Parfait,PSV,TGL,TGL,0.03,2015
In the Hunt,PS,THQ,Xing Entertainment,0.14,1996
Robo Pit,PS,THQ,Altron Corporation,0.03,1996
WCW vs. nWo: World Tour,N64,THQ,Aki Corp.,1.69,1997
Bravo Air Race,PS,THQ,Xing Entertainment,0.14,1997
Ghost in the Shell,PS,THQ,Exact,0.1,1997
Ray Tracers,PS,THQ,Taito Corporation,0.06,1997
Rugrats: Search For Reptar,PS,THQ,n-Space,3.34,1998
WCW/nWo Revenge,N64,THQ,Aki Corp.,2.38,1998
WCW Nitro,PS,THQ,Inland Productions,1.88,1998
WCW/NWO Thunder,PS,THQ,Inland Productions,1.69,1998
WCW vs the World,PS,THQ,Aki Corp.,1.46,1998
Devil Dice,PS,THQ,Shift,1.26,1998
Quest 64,N64,THQ,Imagineer,0.47,1998
WCW Nitro,N64,THQ,Inland Productions,0.21,1998
Brunswick Circuit Pro Bowling,PS,THQ,Adrenalin Entertainment,0.18,1998
The Granstream Saga,PS,THQ,Shade,0.14,1998
G Darius,PS,THQ,Aisystem Tokyo,0.07,1998
WWF WrestleMania 2000,N64,THQ,Aki Corporation,1.48,1999
Rugrats Studio Tour,PS,THQ,n-Space,1.31,1999
Championship Motocross featuring Ricky Carmichael,PS,THQ,Funcom,0.58,1999
Rugrats: Scavenger Hunt,N64,THQ,Realtime Associates,0.51,1999
Road Rash 64,N64,THQ,Pacific Coast Power & Light,0.24,1999
Destruction Derby 64,N64,THQ,Looking Glass Studios,0.16,1999
Bassmasters 2000,N64,THQ,Mass Media,0.14,1999
Nuclear Strike 64,N64,THQ,Pacific Coast Power & Light,0.11,1999
Brunswick Circuit Pro Bowling,N64,THQ,Point of View,0.06,1999
Penny Racers,N64,THQ,Locomotive Games,0.06,1999
WWF SmackDown!,PS,THQ,Yuke's,3.58,2000
Rugrats in Paris: The Movie,PS,THQ,Avalanche Software,3.52,2000
WWF SmackDown! 2: Know Your Role,PS,THQ,Yuke's,3.2,2000
WWF No Mercy,N64,THQ,Aki Corp.,1.5,2000
Summoner,PS2,THQ,Volition Inc.,0.51,2000
Rugrats in Paris: The Movie,N64,THQ,Avalanche Software,0.5,2000
Scooby-Doo! Classic Creep Capers,N64,THQ,Terraglyph Interactive Studios,0.37,2000
Saban's Power Rangers: Lightspeed Rescue,N64,THQ,Mass Media,0.36,2000
Saban's Power Rangers: Lightspeed Rescue,PS,THQ,Climax Group,0.35,2000
Evil Dead: Hail to the King,PS,THQ,Heavy Iron Studios,0.27,2000
MTV Sports: Pure Ride,PS,THQ,Radical Entertainment,0.12,2000
Brunswick Circuit Pro Bowling 2,PS,THQ,Adrenalin Entertainment,0.11,2000
WWF SmackDown! Just Bring It,PS2,THQ,Yuke's,2.79,2001
Scooby Doo and the Cyber Chase,PS,THQ,Art,1.94,2001
Red Faction,PS2,THQ,Volition Inc.,1.92,2001
SpongeBob SquarePants: SuperSponge,PS,THQ,Climax Group,1.78,2001
Tetris Worlds,GBA,THQ,3d6 Games,1.71,2001
"Monsters, Inc.",GBA,THQ,Artificial Mind and Movement,1.67,2001
Rocket Power: Team Rocket Rescue,PS,THQ,Darkblack,0.84,2001
Bob the Builder: Can We Fix It?,PS,THQ,Steel Monkeys,0.57,2001
MX 2002 Featuring Ricky Carmichael,PS2,THQ,Pacific Coast Power & Light,0.56,2001
SpongeBob SquarePants: SuperSponge,GBA,THQ,Climax Group,0.55,2001
Blue's Clues: Blue's Big Musical,PS,THQ,Terryglyph Interactive Studios,0.5,2001
Scooby-Doo,GBA,THQ,Helixe,0.46,2001
Rugrats: Castle Capers,GBA,THQ,Software Creations,0.46,2001
Jimmy Neutron: Boy Genius,GBA,THQ,Human Soft,0.42,2001
Scooby-Doo and the Cyber Chase,GBA,THQ,Software Creations,0.41,2001
Rocket Power: Dream Scheme,GBA,THQ,Helixe,0.4,2001
GT Advance Championship Racing,GBA,THQ,MTO,0.33,2001
Power Rangers: Time Force,PS,THQ,Climax Group,0.32,2001
Bass Strike,PS2,THQ,"Pai,?ÿInc",0.28,2001
Dark Summit,PS2,THQ,Radical Entertainment,0.21,2001
Power Rangers: Time Force,GBA,THQ,Vicarious Visions,0.2,2001
The Wild Thornberrys: Chimp Chase,GBA,THQ,Helixe,0.16,2001
MX 2002 Featuring Ricky Carmichael,GBA,THQ,Tiertex Design Studios,0.16,2001
Championship Motocross 2001 featuring Ricky Carmichael,PS,THQ,Funcom,0.14,2001
MX 2002 Featuring Ricky Carmichael,XB,THQ,Pacific Coast Power & Light,0.13,2001
Disney's Atlantis: The Lost Empire,GBA,THQ,3d6 Games,0.12,2001
Rugrats: Totally Angelica,PS,THQ,ART Co.,0.12,2001
Dark Summit,XB,THQ,Radical Entertainment,0.1,2001
Aidyn Chronicles: The First Mage,N64,THQ,H2O Interactive,0.1,2001
Hot Wheels: Burnin' Rubber,GBA,THQ,Altron,0.06,2001
WWE SmackDown! Shut Your Mouth,PS2,THQ,Yuke's Future Media Creators,3.02,2002
WWE SmackDown! Shut Your Mouth,PS2,THQ,Yuke's,2.66,2002
Scooby-Doo! Night of 100 Frights,PS2,THQ,Heavy Iron Studios,2.1,2002
Tetris Worlds,PS2,THQ,Blue Planet Software,2.08,2002
Red Faction II,PS2,THQ,Volition Inc.,1.5,2002
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,THQ,Vicarious Visions,1.19,2002
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,THQ,Big Sky Software,1.08,2002
Rocket Power: Beach Bandits,PS2,THQ,Evolution Games,0.82,2002
Star Wars Episode II: Attack of the Clones,GBA,THQ,David A. Palmer Productions,0.77,2002
Super Monkey Ball Jr.,GBA,THQ,Realism Ltd,0.72,2002
WWF Raw (2002),XB,THQ,Anchor,0.55,2002
WWE Wrestlemania X8,GC,THQ,Yuke's,0.49,2002
Hot Wheels Velocity X,PS2,THQ,Beyond Games,0.47,2002
Jimmy Neutron: Boy Genius,PS2,THQ,Big Sky Software,0.41,2002
"Monsters, Inc. Scream Arena",GC,THQ,Radical Entertainment,0.37,2002
Rugrats: Royal Ransom,PS2,THQ,Avalanche Software,0.35,2002
The Wild Thornberrys Movie,GBA,THQ,"Human Soft, Inc.",0.34,2002
Sega Smash Pack,GBA,THQ,CodeFire,0.32,2002
Spirit: Stallion of the Cimarron,GBA,THQ,Hyperspace Cowgirls,0.3,2002
Scooby-Doo! Night of 100 Frights,GC,THQ,Heavy Iron Studios,0.3,2002
Rocket Power: Beach Bandits,GBA,THQ,Helixe,0.28,2002
MX SuperFly featuring Ricky Carmichael,PS2,THQ,Pacific Coast Power & Light,0.28,2002
WWE Road to WrestleMania X8,GBA,THQ,Natsume,0.27,2002
Rugrats: I Gotta Go Party,GBA,THQ,Eurocom Entertainment Software,0.26,2002
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,THQ,Human Soft,0.26,2002
Hey Arnold! The Movie,GBA,THQ,Altron,0.26,2002
Britney's Dance Beat,PS2,THQ,Metro Graphics,0.24,2002
Rocket Power: Beach Bandits,GC,THQ,Evolution Games,0.23,2002
Tetris Worlds,GC,THQ,Radical Entertainment,0.22,2002
Britney's Dance Beat,GBA,THQ,Art,0.22,2002
Summoner 2,PS2,THQ,Volition Inc.,0.21,2002
Power Rangers: Wild Force,GBA,THQ,Natsume,0.21,2002
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,THQ,Big Sky Software,0.2,2002
The Fairly Odd Parents: Enter the Cleft,GBA,THQ,Altron,0.2,2002
Virtua Tennis,GBA,THQ,Altron,0.18,2002
Rugrats: Royal Ransom,GC,THQ,Avalanche Software,0.17,2002
Matchbox Cross Town Heroes,GBA,THQ,Magellan Interactive,0.17,2002
Hot Wheels Velocity X,GBA,THQ,Saffire Corporation,0.16,2002
Star Wars: Jedi Power Battles,GBA,THQ,HotGen Studios,0.14,2002
Baseball Advance,GBA,THQ,Smilebit,0.13,2002
GT Advance 2: Rally Racing,GBA,THQ,MTO,0.11,2002
Phantasy Star Collection,GBA,THQ,Digital Eclipse,0.11,2002
Hot Wheels Velocity X,GC,THQ,Beyond Games,0.11,2002
MX SuperFly featuring Ricky Carmichael,XB,THQ,Pacific Coast Power & Light,0.1,2002
Altered Beast: Guardian of the Realms,GBA,THQ,3d6 Games,0.09,2002
MotoGP,XB,THQ,Climax Group,0.09,2002
The Revenge of Shinobi,GBA,THQ,3d6 Games,0.09,2002
New Legends,XB,THQ,Infinite Machine,0.09,2002
MX SuperFly featuring Ricky Carmichael,GC,THQ,Pacific Coast Power & Light,0.09,2002
Jimmy Neutron: Boy Genius,GC,THQ,Big Sky Software,0.09,2002
GT Advance 3: Pro Concept Racing,GBA,THQ,MTO,0.08,2002
The Pinball of the Dead,GBA,THQ,Wow Entertainment,0.06,2002
MotoGP,GBA,THQ,Visual Impact,0.06,2002
Puyo Pop,GBA,THQ,Sonic Team,0.05,2002
Dark Summit,GC,THQ,Radical Entertainment,0.05,2002
The Ripping Friends,GBA,THQ,Creations,0.04,2002
Toxic Grind,XB,THQ,Blue Shift,0.02,2002
Finding Nemo,GBA,THQ,Vicarious Visions,2.82,2003
WWE SmackDown! Here Comes the Pain,PS2,THQ,Yuke's,2.8,2003
Finding Nemo,PS2,THQ,Traveller's Tales,2.09,2003
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,THQ,Heavy Iron Studios,1.67,2003
Disney Princess,GBA,THQ,Art,1.47,2003
Spongebob Squarepants: Battle for Bikini Bottom,GBA,THQ,Vicarious Visions,1.23,2003
The Simpsons: Road Rage,GBA,THQ,Altron,1.19,2003
Tak and the Power of Juju,PS2,THQ,Avalanche Software,1.15,2003
SpongeBob SquarePants: Battle for Bikini Bottom,GC,THQ,Heavy Iron Studios,0.95,2003
Finding Nemo,GC,THQ,Traveller's Tales,0.89,2003
Big Mutha Truckers,PS2,THQ,Eutechnyx,0.84,2003
The Fairly Odd Parents: Breakin Da Rules,PS2,THQ,Blitz Games,0.67,2003
Finding Nemo,XB,THQ,Traveller's Tales,0.66,2003
SpongeBob SquarePants: Battle for Bikini Bottom,XB,THQ,Heavy Iron Studios,0.57,2003
WWE Raw 2,XB,THQ,"Anchor,?ÿInc.",0.56,2003
Tak and the Power of Juju,GBA,THQ,Avalanche Software,0.55,2003
The Fairly Odd Parents: Breakin' Da Rules,GBA,THQ,Helixe,0.54,2003
SplashDown: Rides Gone Wild,PS2,THQ,Rainbow Studios,0.5,2003
Sphinx and the Cursed Mummy,PS2,THQ,Eurocom Entertainment Software,0.45,2003
Scooby-Doo! Mystery Mayhem,GBA,THQ,Artificial Mind and Movement,0.44,2003
Hot Wheels World Race,PS2,THQ,Climax Group,0.42,2003
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,PS2,THQ,Krome Studios,0.42,2003
Tak and the Power of Juju,GC,THQ,Avalanche Software,0.4,2003
Disney's Brother Bear,GBA,THQ,Vicarious Visions,0.39,2003
Evil Dead: Fistfull of Boomstick,PS2,THQ,VIS Entertainment,0.38,2003
WWE Crush Hour,PS2,THQ,Pacific Coast Power & Light,0.35,2003
Star Wars: Flight of the Falcon,GBA,THQ,Pocket Studios,0.35,2003
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,GBA,THQ,Helixe,0.35,2003
Banjo-Kazooie: Grunty's Revenge,GBA,THQ,Rare Ltd.,0.33,2003
WWE Wrestlemania XIX,GC,THQ,Yuke's,0.33,2003
Power Rangers: Ninja Storm,GBA,THQ,Natsume,0.33,2003
