Name,Critic_Score,User_Score
Densha De Go! 64,5.1,
Monster Rancher Hop-A-Bout,3.0,
Ninja Gaiden,9.4,
Ninja Gaiden Black,9.5,
Tecmo Classic Arcade,4.8,
Dead or Alive Xtreme 2,5.3,
SPRay,5.6,
Carmageddon 64,1.3,
Blues Brothers 2000,4.9,
Kao the Kangaroo,3.9,
Top Gun: Combat Zones,4.8,
Spy Games: Elevator Mission,2.0,
Portal 2,9.7,9.0
Portal 2,9.6,
Portal 2,9.6,
Half-Life: Alyx,9.3,9.1
The Haunted: Hell's Reach,5.3,7.7
Clock Tower II: The Struggle Within,4.4,
Shadow Tower,5.7,
Women's Volleyball Championship,2.0,
Neon Genesis Evangelion,5.6,
PD Ultraman Battle Collection 64,2.0,
Digimon World 4,5.2,
Ghost in the Shell: Stand Alone Complex,5.7,
Mobile Suit Gundam: Gundam vs. Zeta Gundam,3.4,
Zatch Bell! Electric Arena,4.4,
Mega Man 3,9.5,
Final Fight,10.0,
Resident Evil 2,9.3,
X-Men: Children of the Atom,3.5,
Resident Evil 3: Nemesis,9.4,
Viewtiful Joe,9.4,
Resident Evil 3: Nemesis,5.7,
Disney's Magical Quest 2 Starring Mickey and Minnie,5.6,
Resident Evil - Code: Veronica X,5.6,
Disney's Hide & Sneak,4.7,
Pro Cast Sports Fishing,3.1,
Auto Modellista,5.7,
Resident Evil 4,9.6,9.3
Resident Evil 4,9.6,
Beat Down: Fists of Vengeance,4.6,
Flipnic: Ultimate Pinball,5.2,
Okami,9.4,9.0
Final Fight: Streetwise,3.6,
Final Fight: Streetwise,3.5,
Neopets Puzzle Adventure,5.1,
Street Fighter IV,9.3,9.0
Street Fighter IV,9.3,9.3
Mega Man Star Force 3: Black Ace / Red Joker,5.7,
Super Street Fighter IV,9.3,
Okami HD,9.4,
Steel Battalion: Heavy Armor,3.0,
Resident Evil: Operation Raccoon City,4.8,4.0
Monster Hunter: World,9.3,9.0
Monster Hunter: World,9.4,7.2
Circus Maximus: Chariot Wars,3.8,
Fugitive Hunter: War on Terror,3.3,
K-1 Grand Prix,3.0,
Super Bubble Pop,2.0,
Super Bubble Pop,4.2,
Pulse Racer,1.9,
Castlevania: Symphony of the Night,9.3,9.0
Nagano Winter Olympics '98,3.0,
Metal Gear Solid,9.3,
C: The Contra Adventure,4.2,
Deadly Arts,3.2,
Kensei: Sacred Fist,5.7,
NHL Blades of Steel '99,5.1,
ISS Pro Evolution,5.1,
NHL Blades of Steel 2000,2.5,
Metal Gear Solid 2: Sons of Liberty,9.5,7.0
Frogger: The Great Quest,3.0,
ESPN X Games Skateboarding,4.9,
Jurassic Park III: Island Attack,4.9,
ESPN X Games Skateboarding,5.7,
Ephemeral Fantasia,5.7,
ESPN National Hockey Night,3.0,
Evolution Skateboarding,3.0,
Disney Sports Skateboarding,3.6,
Disney Sports Skateboarding,2.6,
Evolution Skateboarding,4.8,
ESPN NBA 2Night 2002,5.7,
NBA Starting Five,3.8,
Evolution Snowboarding,2.0,
Disney Sports Football,5.1,
Teenage Mutant Ninja Turtles,5.3,
Yu-Gi-Oh! The Falsebound Kingdom,4.4,
Teenage Mutant Ninja Turtles,5.3,
Teenage Mutant Ninja Turtles,5.3,
Yu-Gi-Oh! Destiny Board Traveler,3.5,
McFarlane's Evil Prophecy,2.5,
World Soccer Winning Eleven 8 International,9.3,
Rengoku: The Tower of Purgatory,4.7,
Frogger: Ancient Shadow,5.3,
World Soccer Winning Eleven 8 International,9.4,
TMNT: Mutant Melee,4.2,
Crime Life: Gang Wars,3.9,
Frogger: Ancient Shadow,5.3,
Frogger: Ancient Shadow,5.3,
Metal Gear Solid 3: Subsistence,9.4,
Bomberman: Act Zero,3.5,
Street Supremacy,2.5,
Pocket Racers,3.8,
Dance Dance Revolution Universe 2,5.7,
Steel Horizon,3.5,
Winx Club: Join the Club,3.6,
Steel Horizon,3.0,
Metal Gear Solid 4: Guns of the Patriots,9.3,9.8
Dance Dance Revolution X,5.4,
Karaoke Revolution Presents American Idol Encore 2,5.3,
Rock Revolution,3.6,
Rock Revolution,3.0,
Hellboy: The Science of Evil,3.5,
Castlevania Judgment,4.6,7.5
Hellboy: The Science of Evil,3.5,
Rock Revolution,4.1,
Target: Terror,3.5,
Hellboy: The Science of Evil,3.0,
Saw II: Flesh & Blood,4.2,
Saw II: Flesh & Blood,4.9,
Adrenalin Misfits,4.7,
Doctor Lautrec and the Forgotten Knights,5.3,6.1
NeverDead,3.0,
NeverDead,3.0,
Minecraft,10.0,7.8
Final Fantasy II,10.0,
D1 Professional Drift Grand Prix Series,3.7,
Dora the Explorer: Dora Saves the Snow Princess,5.7,
X Rebirth,4.3,3.2
Iridion 3D,5.6,
Earthworm Jim 2,4.7,
ATV: Quad Frenzy,4.8,
Dino Master: Dig Discover Duel,2.5,
Super Black Bass Fishing,2.5,
Bust-A-Move Bash!,5.3,
Kengo: Legend of The 9,4.8,
The Wild West,3.5,
Furu Furu Park,3.5,
Toy Shop,3.0,
Night at the Museum: Battle of the Smithsonian,5.4,
Babysitting Mama,3.8,
Space Raiders,2.9,
Medabots: Infinity,5.4,
Freedom Wings,3.0,
Math Play,3.0,
MetropolisMania 2,4.3,
Agony,4.7,4.2
F1 Pole Position 64,4.1,
All Star Tennis 99,5.1,
Batman Beyond: Return of the Joker,2.0,
Gold and Glory: The Road to El Dorado,4.8,
The Legend of Alon D'ar,4.3,
Tom Clancy's Splinter Cell,9.3,9.1
Monster Jam: Maximum Destruction,3.6,
Ice Age,4.2,
Myst III: Exile,2.0,
Salt Lake 2002,5.1,
Tom Clancy's Rainbow Six 3,9.3,
"Crouching Tiger, Hidden Dragon",4.8,
Monster 4x4: Masters of Metal,5.1,
The Sum of All Fears,3.2,
Charlie's Angels,2.5,
"Crouching Tiger, Hidden Dragon",4.8,
Tom Clancy's Splinter Cell,9.4,
Tom Clancy's Rainbow Six 3: Black Arrow,9.3,
Tom Clancy's Splinter Cell: Chaos Theory,9.4,
Dogz,4.1,
Rayman DS,5.4,
Battles of Prince of Persia,5.6,
Tom Clancy's Ghost Recon 2,5.7,
GT Pro Series,3.7,
Over G Fighters,5.1,
Tom Clancy's Splinter Cell: Essentials,5.6,
Open Season,5.7,
Mind Quiz,4.6,
Tom Clancy's Splinter Cell: Double Agent,5.6,
Astonishia Story,4.8,
Imagine: Babyz,3.5,
Imagine: Fashion Designer,3.0,
Blazing Angels: Squadrons of WWII,4.7,
Beowulf: The Game,4.9,
TMNT,3.6,
WarTech: Senko no Ronde,5.1,
Imagine: Wedding Designer,2.5,
Imagine: Fashion Designer New York,4.6,
Haze,5.6,
Imagine: Rock Star,3.2,
Puppy Palace,3.0,
Petz: Crazy Monkeyz,3.5,
Imagine: Ballet Star,4.6,
Quick Yoga Training,2.5,
Brothers in Arms: Double Time,4.6,
My Fun Facts Coach,5.1,
Assassin's Creed: Altair's Chronicles,5.7,
Just Dance,5.4,
James Cameron's Avatar: The Game,3.9,
Teenage Mutant Ninja Turtles: Arcade Attack,4.3,
C.O.P.: The Recruit,5.7,
Michael Jackson: The Experience,5.6,
MotionSports,4.1,
Fighters Uncaged,3.2,
Racquet Sports,4.2,
Pure Futbol,3.8,
Michael Jackson: The Experience,5.6,
Rayman Origins,9.5,
