Name,Critic_Score,User_Score
Pizza Delivery Boy,,
Dance Sensation!,,
Greg Hastings Paintball 2,,
Swords,,
Thomas & Friends: Hero of the Rails,,
Super Speed Machines,,
Pirates PlundArrr,,
Zumba Fitness 2,,
Cooking Mama 4: Kitchen Magic!,,
Jillian Michaels' Fitness Adventure,,
Pet Zombies,,
Camping Mama: Outdoor Adventures,,
Hulk Hogan's Main Event,,
Twister Mania,,
Alvin and the Chipmunks: Chipwrecked,,
Alvin and the Chipmunks: Chipwrecked,,
Alvin and the Chipmunks: Chipwrecked,,
Cake Mania: Main Street,,
Jaws: Ultimate Predator,,
Face Racers: Photo Finish,,
The Hidden,,
Motion Explosion!,,
Gungrave: Overdose,,
Top Gun: Combat Zones,,
Pump It Up: Exceed,,
Pump It Up: Exceed,,
Top Gun,,
Deer Drive,,
Remington Great American Bird Hunt,,
Shimano Xtreme Fishing,,
Deer Drive,,
Remington Super Slam Hunting: Africa,,
Reload: Target Down,,
Remington Super Slam Hunting: North America,,
Heavy Fire: Afghanistan,,
Heavy Fire: Afghanistan,,
Remington Super Slam Hunting: Alaska,,
Heavy Fire: The Chosen Few 3D,,
Heavy Fire: Afghanistan,,
Outdoors Unleashed: Alaska 3D,,
Outdoors Unleashed: Africa 3D,,
Party Planet,,
Home Sweet Home (2017),,
The Mercury Man,,
MAGI,,
Highway 2000,,
Harvest Moon GB,,
Harvest Moon 2 GBC,,
Burstrick: Wake Boarding!!,,
Skydiving Extreme,,
Medabots AX: Metabee / Rokusho Ver.,,
Pocky & Rocky with Becky,,
Reel Fishing III,,
Mark Davis Pro Bass Challenge,,
Medabots: Metabee / Rokusho,,
Harvest Moon: A Wonderful Life Special Edition,,
Finny the Fish & the Seven Waters,,
Mark Davis Pro Bass Challenge,,
Harvest Moon DS (US sales),,
Harvest Moon DS (jp sales),,
River King: Wonderful Journey,,
Puzzle de Harvest Moon,,
Harvest Moon DS: Island of Happiness,,
Harvest Moon DS Cute (US sales),,
Harvest Moon DS Cute (jp sales),,
River King: Mystic Valley (US sales),,
"Hi! Hamtaro - Little Hamsters,big Adventures: Ham-Ham Challenge",,
River King: Mystic Valley (jp sales),,
Reel Fishing: Angler's Dream,,
Adventures to Go!,,
Animal Kingdom: Wildlife Expedition,,
Squishy Tank,,
Cheer We Go!,,
Witch's Wish,,
Reel Fishing Paradise 3D,,
Harvest Moon: The Lost Valley,,
Sayonara Umihara Kawase,,
A-Train 3D: City Simulator,,
Harvest Moon: Light of Hope,,
Harvest Moon: Light of Hope,,
Wild Guns Reloaded,,
Tsuyo Kiss 3 Portable,,
Cave Story+,,
The End is Nigh,,
Blade Strangers,,
Hotel Giant DS,,
Case Closed: One Truth Prevails,,
Hotel Giant 2,,
My Dress-Up,,
PDC World Championship Darts 2008,,
Hysteria Hospital: Emergency Ward,,
My Make-Up,,
My Friends,,
Challenge Me: Brain Puzzles,,
Hysteria Hospital: Emergency Ward,,
Challenge Me: Maths Workout,,
CID The Dummy,,
CID The Dummy,,
Hurry Up Hedgehog!,,
Mystery Tales of Time Travel,,
PDC World Championship Darts: Pro Tour,,
PDC World Championship Darts: Pro Tour,,
Challenge Me: Brain Puzzles 2,,
Great Party Games,,
Challenge Me: Brain Puzzles 2,,
The Treasures of Montezuma,,
Girls Only,,
PDC World Championship Darts: Pro Tour,,
John Daly's ProStroke Golf,,
Jewel Time Deluxe,,
Touch 'N' Play Collection,,
The Mysterious Case of Dr. Jekyll and Mr. Hyde,,
Challenge Me: Word Puzzles,,
Challenge Me: Word Puzzles,,
Challenge Me: Word Puzzles,,
Titanic Mystery,,
Titanic Mystery,,
Natsuzora no Monologue,,
Code R,,
Riven: The Sequel to Myst,,
Dexodonex,,
Nanairo Reincarnation,,
Haunted Casino,,
Konohana 2: Todoke Kanai Requiem,,
Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,,
Metal Saga: Hagane no Kisetsu,,
Aoishiro,,
Tactical Guild,,
Touch Detective: Nameko Shigeru,,
Touch Detective 3: Does Funghi Dream of Bananas?,,
Touch Detective Funghi Rhythm,,
Sugoi Hebereke,,
Hissatsu Pachinko Collection 3,,
Galaxy Fight,,
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,,
Shanghai: True Valor,,
Golf With Your Friends,,
Wreckin Crew,,
Street Racer,,
S.C.A.R.S,,
Disney's Donald Duck: Goin' Quackers,,
Disney's Donald Duck: Goin' Quackers,,
Walt Disney's The Jungle Book: Rhythm N'Groove,,
Disney's Donald Duck: Goin' Quackers,,
Disney's Tarzan Untamed,,
Disney's Tarzan Untamed,,
Batman: Gotham City Racer,,
Inspector Gadget: Gadget's Crazy Maze,,
Conflict Zone,,
Tomb Raider: The Prophecy,,
Disney's PK: Out of the Shadows,,
Sabrina The Teenage Witch: Potion Commotion,,
Deathrow: Underground Team Combat,,
Myst III: Exile,,
Worms World Party,,
Monster Jam: Maximum Destruction,,
Disney's Donald Duck: Goin' Quackers,,
Mike Tyson Boxing,,
E.T. The Extra-Terrestrial: Interplanetary Mission,,
Largo Winch .// Commando Sar,,
The Mummy,,
Pro Rally,,
Monster 4x4: Masters of Metal,,
Walt Disney's The Jungle Book: Rhythm N'Groove,,
Bratz,,
Beyond Good & Evil,,
Beyond Good & Evil,,
Mucha Lucha! Mascaritas of the Lost Code,,
IL-2 Sturmovik: Forgotten Battles,,
Bust-A-Move 3000,,
City Racer,,
Tom Clancy's Splinter Cell: Pandora Tomorrow,,
Rocky: Legends,,
Rocky: Legends,,
Ape Escape: Pumped & Primed,,
Sprung - A Game Where Everyone Scores,,
Tom Clancy's Splinter Cell: Pandora Tomorrow,,
Myst IV: Revelation,,
Peter Jackson's King Kong: The Official Game of the Movie,,
Tom Clancy's Splinter Cell: Chaos Theory,,
Star Wars Episode III: Revenge of the Sith,,
Brothers In Arms: Road to Hill 30,,
Peter Jackson's King Kong: The Official Game of the Movie,,
Kong: The 8th Wonder of the World,,
Brothers In Arms: Earned In Blood,,
Brothers In Arms: Road to Hill 30,,
Tom Clancy's Ghost Recon 2: Summit Strike,,
Brothers In Arms: Earned In Blood,,
187: Ride or Die,,
Peter Jackson's King Kong: The Official Game of the Movie,,
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,,
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,,
Tom Clancy's Splinter Cell: Chaos Theory,,
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,,
187: Ride or Die,,
Myst IV: Revelation,,
Trollz: Hair Affair!,,
Rayman 10th Anniversary,,
Monster 4x4: World Circuit,,
And1 Streetball,,
Catz,,
Asphalt: Urban GT 2,,
Tom Clancy's Splinter Cell: Double Agent,,
Go! Sudoku (JP sales),,
And1 Streetball,,
Tom Clancy's Ghost Recon: Advanced Warfighter,,
Tom Clancy's Rainbow Six: Critical Hour,,
The Settlers II 10th Anniversary,,
Enchanted Arms (jp sales),,
Tom Clancy's Ghost Recon Advanced Warfighter (weekly JP sales),,
Rayman Raving Rabbids,,
Import Tuner Challenge (JP sales),,
Dogz Fashion,,
Petz Wild Animals: Dolphinz,,
Petz Dogz 2,,
Petz Dogz 2,,
Petz Dogz 2,,
Petz: Hamsterz Life 2,,
Scrabble 2007 Edition,,
Petz: Horsez 2,,
Jam Sessions: Sing and Play Guitar (US sales),,
Surf's Up,,
Petz: Horsez 2,,
Surf's Up,,
CSI: 3 Dimensions of Murder,,
Surf's Up,,
CSI: Hard Evidence,,
Beowulf: The Game,,
CSI: Dark Motives,,
Pawly Pets: My Vet Practice,,
Brothers In Arms DS,,
Enchanted Arms (JP sales),,
Pippa Funnell: Ranch Rescue,,
Pippa Funnell 2: Farm Adventures,,
Surf's Up,,
Jam Sessions: Sing and Play Guitar (jp sales),,
Petz: Hamsterz Life 2,,
CSI: Hard Evidence,,
Horsez,,
WarTech: Senko no Ronde (JP sales),,
Pawly Pets: My Pet Hotel,,
Imagine: Babysitters,,
CSI: Hard Evidence,,
Petz Dogz Fashion,,
The Price is Right,,
Petz: Dogz Pack,,
Petz Wild Animals: Tigerz,,
The Price is Right,,
Rayman Raving Rabbids: TV Party,,
Emergency Heroes,,
Imagine: Figure Skater (US sales),,
Family Fest Presents Circus Games,,
Petz Bunnyz,,
Petz Rescue: Wildlife Vet,,
Hell's Kitchen: The Game,,
Imagine: Movie Star,,
Hell's Kitchen: The Game,,
The Dog Island,,
Family Fest presents: Movie Games,,
Ener-G Horse Riders,,
Tom Clancy's EndWar,,
My Stop Smoking Coach: Allen Carr's EasyWay,,
Midnight Play! Pack,,
Real Soccer 2009,,
Cesar Millan's Dog Whisperer,,
Totally Spies! Totally Party,,
Prince of Persia (2008),,
Who Wants to be a Millionaire: 2nd Edition,,
Who Wants to be a Millionaire: 2nd Edition,,
Imagine Figure Skater (JP sales),,
Puzzler Collection,,
Gold's Gym: Cardio Workout,,
Family Feud: 2010 Edition,,
Petz Nursery,,
Classic Word Games,,
100 All-Time Favorites,,
Style Lab: Makeover,,
Imagine: Salon Stylist,,
Press Your Luck 2010 Edition,,
CSI: Deadly Intent - The Hidden Cases,,
Style Lab: Jewelry Design,,
Gold's Gym: Cardio Workout (Others sales),,
Imagine: Family Doctor,,
Imagine: Makeup Artist,,
Imagine: Fashion Designer World Tour,,
CSI: Deadly Intent,,
Family Feud: 2010 Edition,,
Imagine: Fashion Party,,
Imagine: Teacher Class Trip,,
The Price Is Right 2010 Edition,,
Imagine: Zookeeper,,
Cloudy With a Chance of Meatballs,,
Imagine: Detective,,
Where's Waldo? The Fantastic Journey,,
Imagine: Boutique Owner,,
CSI: Deadly Intent,,
Press Your Luck 2010 Edition,,
Petz Pony: Beauty Pageant,,
Where's Waldo? The Fantastic Journey,,
Imagine: Babyz Fashion,,
Monster 4x4: Stunt Racer,,
Petz: Horseshoe Ranch,,
Broken Sword: Shadows of the Templars - The Director's Cut,,
Take A Break's: Puzzle Master,,
Imagine: Ice Champions,,
Imagine: Music Fest,,
Petz: Dogz Talent Show,,
Heroes over Europe,,
Fashion Studio: Paris Collection,,
The Price Is Right 2010 Edition,,
Vacation Sports,,
Petz Fashion: Dogz & Catz,,
Imagine: Soccer Captain,,
My Healthy Cooking Coach,,
Petz Hamsterz Superstarz,,
Petz: Saddle Club,,
Petz: Dogz Family,,
My English Coach: Para Hispanoparlantes,,
Imagine: My Restaurant,,
Team Elimination Games,,
Petz: Hamsterz Bunch,,
Jake Power: Handyman,,
Imagine: Cheerleader,,
Imagine: Artist,,
Jojo's Fashion Show: Design in a Dash!,,
Cook Wars,,
World in Conflict: Complete Edition,,
Petz: Dolphinz Encounter,,
Tom Clancy's EndWar,,
Just Dance Kids,,
Dance on Broadway,,
Gold's Gym: Dance Workout,,
Peppa Pig: Fun and Games,,
Tom Clancy's HAWX 2,,
Silent Hunter 5: Battle of the Atlantic,,
Racquet Sports,,
CSI: Fatal Conspiracy,,
CSI: Unsolved!,,
CSI: Fatal Conspiracy,,
My Fitness Coach 2: Exercise and Nutrition,,
Rabbids Party Collection,,
Shaun White Skateboarding,,
CSI: Fatal Conspiracy,,
Imagine: Fashion Stylist,,
Peppa Pig: Fun and Games,,
The Amazing Race,,
Assassin's Creed II: Deluxe Edition,,
Tom Clancy's Ghost Recon,,
Petz Fantasy: Moonlight Magic,,
Hollywood Squares,,
Who Wants to Be a Millionaire: 3rd Edition,,
Imagine: Reporter,,
Sports Collection,,
Petz Fantasy: Sunshine Magic,,
Imagine: Gymnast,,
OK! Puzzle Stars,,
Imagine: Resort Owner,,
Imagine Animal Doctor Care Center,,
Imagine: Party Planner,,
Tom Clancy's HAWX 2,,
Galaxy Racers,,
Who Wants to Be a Millionaire: 3rd Edition,,
CSI: Fatal Conspiracy,,
Sleepover Party,,
Best Friends Tonight,,
Prince of Persia: The Forgotten Sands,,
Who Wants to be a Millionaire: 1st Edition,,
Who Wants to be a Millionaire: 1st Edition,,
Shaun White Skateboarding,,
Imagine: Sweet 16,,
Petz: Catz Playground,,
Hello Kitty: Puzzle Party,,
Take A Break's: Puzzle Bonanza,,
ABBA: You Can Dance,,
Just Dance 3,,
The Black Eyed Peas Experience,,
Just Dance: Summer Party,,
The Smurfs,,
Just Dance Kids 2,,
The Adventures of Tintin: The Game,,
Might & Magic: Clash of Heroes,,8.0
The Smurfs: Dance Party,,
Rabbids: Alive & Kicking,,
Just Dance Kids 2,,
MotionSports: Adrenaline,,
The Adventures of Tintin: The Game,,
Zoo Resort 3D,,
Just Dance Kids 2,,
Just Dance 2: Extra Songs,,
Family Feud: 2012 Edition,,
Michael Jackson: The Experience 3D,,
WRC 2: FIA World Rally Championship,,
MotionSports: Adrenaline,,
Imagine: Fashion Designer,,
NCIS,,
NCIS,,
Fit in Six,,
Puppies 3D,,
My Fitness Coach: Club,,
NCIS,,
Petz Puppyz & Kittenz,,
The Price is Right: Decades,,
The Price is Right: Decades,,
Hole in the Wall: Deluxe Edition,,
Fit in Six,,
Family Feud: 2012 Edition,,
Who Wants to Be A Millionaire?,,
Dance on Broadway,,
Puzzler Mind Gym 3D,,
"The $1,000,000 Pyramid",,
Petz Fantasy 3D,,
My Fitness Coach: Club,,
Petz Bunnyz Bunch,,
NCIS,,
WRC 2: FIA World Rally Championship,,
Tom Clancy's Splinter Cell Classic Trilogy HD,,
The Adventures of Tintin: The Game,,
Just Dance 4,,
Far Cry 3,,
Just Dance 4,,
Just Dance 4,,
Just Dance: Greatest Hits,,
Just Dance: Disney Party,,
Just Dance: Disney Party,,
Rocksmith,,
Funky Barn,,
NCIS 3D,,
Brothers in Arms: Furious 4,,
Horses 3D,,
Marvel Avengers: Battle for Earth,,
Brothers in Arms: Furious 4,,
Just Dance 2014,,
The Smurfs 2,,
The Smurfs 2,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,,
The Smurfs 2,,
The Smurfs 2,,
The Smurfs 2,,
Assassin's Creed: Unity,,
Assassin's Creed: Unity,,
Just Dance 2015,,
Watch Dogs,,
Assassin's Creed: Rogue,,
Watch Dogs,,
Far Cry 4,,
Assassin's Creed: Rogue,,
Far Cry 4,,
Just Dance 2015,,
Just Dance 2015,,
Assassin's Creed: Unity,,
Just Dance 2015,,
The Crew,,
Shape Up,,
Rabbids Invasion: The Interactive TV Show,,
Rabbids Invasion: The Interactive TV Show,,
Tom Clancy's Rainbow Six: Siege,,
Tom Clancy's Rainbow Six: Siege,,
Just Dance 2016,,
Just Dance 2016,,
Tom Clancy's Rainbow Six: Siege,,
Just Dance 2016,,
Might & Magic Heroes VII,,
Hasbro Family Fun Pack,,
Assassin's Creed: Rogue,,
Just Dance: Disney Party 2,,
Just Dance: Disney Party 2,,
Just Dance: Disney Party 2,,
Gravity Falls: Legend of the Gnome Gemulets,,
The Crew: Wild Run,,
The Crew: Wild Run,,
Just Dance: Disney Party 2,,
Just Dance 2017,,
Assassin's Creed The Ezio Collection,,
Rocksmith 2014,,
TrackMania Turbo,,
Just Dance 2017,,
Just Dance 2017,,
Assassin's Creed The Ezio Collection,,
Rocksmith 2014 Edition Remastered,,
Just Dance 2017,,
Rocksmith 2014 Edition Remastered,,
Assassin's Creed Chronicles,,
Assassin's Creed Chronicles,,
TrackMania Turbo,,
Hasbro Family Fun Pack Conquest Edition,,
Hasbro Family Fun Pack Conquest Edition,,
Just Sing,,
Just Sing,,
TrackMania Turbo,,
Assassin's Creed Chronicles,,
Just Dance 2018,,
Star Trek Bridge Crew,,
Just Dance 2018,,
Just Dance 2018,,
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,,
Just Dance 2018,,
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,,
Just Dance 2018,,
Just Dance 2019,,
Just Dance 2019,,
Sports Party,,
Just Dance 2019,,
Just Dance 2019,,
America's Greatest Game Shows: Wheel of Fortune and Jeopardy!,,
The Settlers History Collection,,
South Park: The Stick of Truth,,
Legendary Fishing,,
South Park: The Stick of Truth,,
Far Cry 3: Classic Edition,,
Legendary Fishing,,
Hasbro Game Night for Nintendo Switch,,
Karate,,
Fireball,,
Fast Food,,
X-Man,,
Halloween,,
Ghostbusters II,,
Kidou Senkan Nadesico,,
Barbie Explorer,,
Championship Manager Season 01/02,,
Gran Turismo Concept 2001 Tokyo,,
Dragon Quest Monsters: Caravan Heart,,
Hamster Heroes,,
Playmobil Top Agents,,
Ikki Tousen: Shining Dragon,,
UFO: Trilogy,,
Doodle Hex,,
Kanji Calligraphy Training,,
PDC World Championship Darts 2008,,
The Polynomial - Space of the Music,,
Garfield Gets Real,,
Danganronpa: Trigger Happy Havoc,,
DogFighter,,
Doctor Who: Evacuation Earth,,
Farming Simulator 2011,,
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,,
Foto Showdown,,
Tsuyo Kiss 2 Portable,,
Tantei Opera: Milky Holmes,,
Rise of Flight: Iron Cross Edition,,
WRC: FIA World Rally Championship,,
Final Fantasy Type-0,,
Universe Sandbox,,
Worms: Ultimate Mayhem,,
Unepic,,
DETOUR,,
1001 Touch Games,,
Angry Birds,,
Now! That's What I Call Music: Dance & Sing,,
Yoostar2,,
Valkyria Chronicles III: Unrecorded Chronicles,,
Bunch of Heroes,,
Kids Learn Math: A+ Edition,,
Black * Rock Shooter: The Game,,
Kung-Fu: High Impact,,
JASF: Jane's Advanced Strike Fighters,,
Saigo no Yakusoku no Monogatari,,
Yoostar2,,
May's Mystery: Forbidden Memories,,
Mystery Stories: Curse of the Ancient Spirits,,
Junior Mystery Quest,,
JASF: Jane's Advanced Strike Fighters,,
Yoostar on MTV,,
Match 3 Madness,,
Max & the Magic Marker,,
Metal Max 2 Reloaded,,
Kids Learn Music A+ Edition,,
The Lost Treasures of Alexandria,,
Check vs. Mate,,
Jewel Quest Mysteries 2: Trail of the Midnight Heart,,
Demolition Company: Gold Edition,,
JASF: Jane's Advanced Strike Fighters,,
Junior Island Adventure,,
Maximum Racing: Drag & Stock Racer,,
Max & the Magic Marker,,
Maximum Racing: GP Classic Racing,,
Super Meat Boy: Ultra Edition!,,
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,,
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,,
Farm Frenzy 3,,
Vampire Mansion: Linda Hyde,,
Love Once: Mermaid's Tears,,
Meikyuu Cross Blood: Reloaded,,
Mystery Tales 2: The Spirit Mask,,
Airport Simulator,,
Maximum Racing: Crash Car Racer,,
Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,,
Dark Parables: The Exiled Prince,,
Real Crimes: The Unicorn Killer,,
The Treasures of Mystery Island 3 Pack - Save Mystery Island!,,
Fit & Fun,,
Maximum Racing: Super Karts,,
Secret Mysteries in London,,
Maximum Racing: Super Truck Racer,,
Maximum Racing: Sprint Cars,,
Maximum Racing: Rally Racer,,
Out There Somewhere,,
Jewel Link Chronicles: Mountains of Madness,,
Mahjong 3D: Warriors of the Emperor,,
Deadliest Warrior: Ancient Combat,,
Deadliest Warrior: Ancient Combat,,
Heroes of Hellas 2: Olympia,,
Pro Angler Moves,,
Hammerwatch,,
Bit.Trip Presents... Runner 2: Future Legend of Rhythm Alien,,
The Bridge,,
Edge of Space,,
Fuun Shinsengumi Bakumatsuden Portable,,
Spintires,,
Mount Your Friends,,
Revolution Ace,,
Canyon Capers,,
Contraption Maker,,
Melody's Escape,,
Soukai Buccaneers,,
ShellShock Live,,
Cat Goes Fishing,,
Possession Magenta,,
Euro Fishing,,
Rear Pheles: Red of Another,,
How to Survive 2,,
Factorio,,
Rivals of Aether,,
Mad Hunter,,
Sengoku Otome: Legend Battle,,
Shitsuji ga Aruji o Erabu Toki,,
Strawberry Nauts,,
PuraMai Wars V,,
Stick Fight: The Game,,
Mouse in Lab,,
Cucumber Blues,,
GRUZCHIK,,
Greed Corp,,
Triggerheart Exelica,,
Tenchi Muyou! Ryoukouki Gokuraku,,
Ford Mustang: The Legend Lives,,
Sid Meier's Pirates!,,
Zathura,,
Ford Mustang: The Legend Lives,,
Ford Racing 3,,
Serious Sam II,,
Stronghold 2 Deluxe,,
Zathura,,
Fantastic Four: Rise of the Silver Surfer,,
Fantastic Four: Rise of the Silver Surfer,,
Fantastic Four: Rise of the Silver Surfer,,
Fantastic Four: Rise of the Silver Surfer,,
Fantastic Four: Rise of the Silver Surfer,,
New Carnival Games,,
New Carnival Games,,
Borderlands: Game of the Year Edition,,
Borderlands: Game of the Year Edition,,
Borderlands: Game of the Year Edition,,
Sid Meier's Civilization V: Game of the Year Edition,,
The Darkness II,,
Nicktoons MLB 3D,,
Sid Meier's Ace Patrol: Pacific Skies,,
Borderlands: The Pre-Sequel,,
Borderlands: The Pre-Sequel,,
Civilization Beyond Earth: Rising Tide,,
WWE 2K17,,
WWE 2K17,,
Carnival Games,,
NBA 2K Playgrounds 2,,
Golf Club 2019,,
Carnival Games,,
Golf Club 2019,,
Carnival Games,,
NASCAR Heat 2,,
Know How 2,,
TV Total Events,,
Germany's Next Topmodel 2011,,
Germany's Next Topmodel 2011,,
Board Game: Top Shop,,
Snowboarding,,
Shooter: Starfighter Sanvein,,
Test Drive: Off Road,,
X-Plane 10 Global,,
Fernbus Simulator,,
X-Plane 11,,
Farming Simulator 17: Straw Harvest,,
To Heart,,
Utawarerumono: Chiriyukusha e no Komoriuta,,
Routes PE,,
Tears to Tiara: Kakan no Daichi,,
To Heart 2 Portable,,
Tears to Tiara Gaiden: Avalon no Nazo,,
Utawarerumono Portable,,
White Album: Tsuzurareru Fuyu no Omoide,,
Tears to Tiara: Kakan no Daichi Portable,,
To Heart 2: Dungeon Travelers,,
To Heart 2 DX Plus,,
To Heart Portable,,
Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings,,
Utawarerumono Zan,,
Guild Wars 2 - Path of Fire,,
TransOcean: The Shipping Company,,
Dark Parables: The Little Mermaid and the Purple Tide,,
M&Ms Shell Shocked,,
Aquaria,,
Isshoni Gohan. Portable,,
Galaxy Angel II: Zettairyouiki no Tobira,,
Galaxy Angel II: Mugen Kairou no Kagi,,
Shinseiki Evangelion: Battle Orchestra,,
Meitantei Evangelion,,
Shinseiki Evangelion Ayanami Ikusei Keikaku DS with Asuka Hokan Keikaku,,
Galaxy Angel II: Eigou Kaiki no Koku,,
Shinseiki Evangelion: Battle Orchestra Portable,,
Game Book DS: Sword World 2.0,,
Uta no * Prince-Sama,,
Game Book DS: Aquarian Age Perpetual Period,,
Uta no * Prince-Sama: Repeat,,
Uta no Prince-Sama: Music,,
Uta no * Prince-Sama: Sweet Serenade,,
Uta no Prince-Sama: Debut,,
Koi Sentai Love & Peace the P.S.P: Power Zenkai! Special Youso Tenkomori de Portable Ka Daisakusen de Aru!,,
Uta no * Prince-Sama: All Star,,
Uta no?Prince-sama? MUSIC 2,,
Kamigami no Asobi: Ludere Deorum,,
Meiji Tokyo Renka,,
Uta no Prince-Sama: All Star After Secret,,
Meiji Toukyou Renka: Twilight Kiss,,
Uta no Prince-Sama: Music 3,,
Maji-Kyun! Renaissance,,
Kamigami no Asobi InFinite,,
Uta no Prince-Sama: Repeat Love,,
Uta no Prince-sama: Amazing Aria & Sweet Serenade Love,,
Killer and Strawberry,,
Brother Wings,,
QUIZ PARTY,,
Shake Your Money Simulator 2016,,
Otogirisou,,
Torneko no Daibouken: Fushigi no Dungeon,,
Kamaitachi no Yoru,,
Fushigi no Dungeon 2: Fuurai no Shiren,,
Fushigi no Dungeon: Fuurai no Shiren GB: Tsukikagemura no Kaibutsu,,
Sound Novel Machi,,
Sound Novel Evolution 1: Otogirisou Sosei-Hen,,
Fushigi no Dungeon: Furai no Shiren 2 - Oni Shuurai! Shiren Shiro!,,
Kamaitachi no Yoru 2,,
Machi: Unmei no Kousaten,,
Kamaitachi no Yoru 2: Tokubetsu Hen,,
Fushigi no Dungeon: Fuurai no Shiren 5 - Fortune Tower to Unmei no Dice,,
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,,
Zombi Daisuki,,
Entaku no Seito: Students of Round,,
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,,
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,,
Juggler DS,,
Tale of a Hero,,
Airlock,,
Frankenstein's Monster,,
Eikan wa Kimini 2002: Koshien no Kodou,,
Greyfox RPG,,
Legend of Mysteria RPG,,
Sun Blast: Star Fighter,,
BADLAND: Game of the Year Edition,,
Cruise Ship Vacation Games,,
Water Sports,,
Hidden Mysteries: Buckingham Palace,,
Hidden Mysteries: Vampire Secrets,,
Escape the Museum,,
Brunswick Cosmic Bowling,,
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,,
Pheasants Forever Wingshooter,,
Country Dance,,
Country Dance 2,,
Pinkalicious,,
Pillow Pets,,
DaGeDar,,
Moxie Girlz,,
Silverlicious,,
Xia-Xia,,
Big Hero 6: Battle in the Bay,,
Legends of Oz: Dorothy's Return,,
Big Hero 6: Battle in the Bay,,
Cartoon Network Battle Crashers,,
Cartoon Network Battle Crashers,,
Cartoon Network Battle Crashers,,
Rapala Fishing Pro Series,,
Monster Jam: Crush It,,
Rapala Fishing Pro Series,,
Monster Jam: Crush It,,
Monster Jam: Crush It,,
Big Buck Hunter Arcade,,
Guitar Rock Tour,,
Mazes of Fate DS,,
Reader Rabbit Kindergarten,,
Reader Rabbit Kindergarten,,
Reader Rabbit 1st Grade,,
Reader Rabbit 2nd Grade,,
Free Running,,
Shepherd's Crossing,,
Shepherd's Crossing 2 DS,,
Windy X Windam,,
Horrible Histories: Ruthless Romans,,
Rime,,
12-Sai. Honto no Kimochi,,
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,,
Niko Puchi Girls Runway,,
Sousaku Alice to Oujisama!,,
12-Sai. Koisuru Diary,,
12-Sai. Torokeru Puzzle Futari no Harmony,,
Nora to Koujo to Noraneko Heart,,
Draw a Stickman: EPIC,,
"Linea, the Game",,
Intralism,,
Real World Golf,,
Damage Inc.: Pacific Squadron WWII,,
Utsusemi no Mawari,,
Smash Cars,,
Casper,,
Paddington: Adventures in London,,
Syberia III,,
Syberia III,,
Moto Racer 4,,
Syberia 2,,
Toki Collector's Edition,,
Asterix and Obelix XXL2,,
ATV Drift & Tricks,,
Gear Club Unlimited 2,,
Flashback,,
ATV Drift & Tricks,,
If My Heart Had Wings,,
Custer's Revenge,,
Sesame Street: Elmo's Letter Adventure,,
Tiny Toon Adventures: The Great Beanstalk,,
Sesame Street: Elmo's Number Journey,,
Sesame Street: Elmo's Number Journey,,
Sesame Street: Elmo's Letter Adventure,,
Disney's Story Studio: Disney's Mulan,,
Hello Kitty's Cube Frenzy,,
Tom and Jerry in Fists of Furry,,
Dragon Tales: Dragon Seek,,
Dora the Explorer: The Search for Pirate Pig's Treasure,,
Tom and Jerry: Infurnal Escape,,
Tom and Jerry in War of the Whiskers,,
Dr. Seuss: Green Eggs and Ham,,
Tom and Jerry in War of the Whiskers,,
Dragon Tales: Dragon Adventures,,
Mahjong,,
4 Nin uchi Mahjong,,
Golf,,
Kung Fu,,
Tennis,,
Pinball,,
Gyromite,,
Hogan's Alley,,
Clu Clu Land,,
Wrecking Crew,,
Popeye,,
Nazo no Murasame-Jou (FDS),,
Mike Tyson's Punch-Out!!,,
Pro Wrestling,,
Volleyball,,
Rad Racer,,
Soccer,,
Zelda II: The Adventure of Link,,
R.C. Pro-Am,,
Donkey Kong Classics,,
Super Mario Land,,
Tetris,,
Dragon Warrior,,
Alleyway,,
Baseball,,
Yakuman,,
Dr. Mario,,
Dr. Mario,,
Nintendo World Cup,,
SolarStriker,,
Qix,,
F-Zero,,
SimCity,,
Pilotwings,,
Super R.C. Pro-Am,,
GameBoy Wars,,
Kirby's Dream Land,,
Yoshi,,
